,index,budget,imdb_id,original_title,popularity,revenue,runtime,vote_average,vote_count,release_timespan,popularity_scaled, 10402, 10749, 10751, 10752, 10769, 10770, 12, 14, 16, 18, 27, 28, 35, 36, 37, 53, 80, 878, 9648, 99
0,0,30000000.0,tt0114709,Toy Story,21.946943,373554033.0,81.0,7.7,5415.0,23.0,3.0886278587514493,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,65000000.0,tt0113497,Jumanji,17.015539,262797249.0,104.0,6.9,2413.0,23.0,2.834126985382371,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,16000000.0,tt0114885,Waiting to Exhale,3.859495,81452156.0,127.0,6.1,34.0,23.0,1.3505363459023332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,5,60000000.0,tt0113277,Heat,17.924927,187436818.0,170.0,7.7,1886.0,23.0,2.886192313952984,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,8,35000000.0,tt0114576,Sudden Death,5.23158,64350171.0,106.0,5.5,174.0,23.0,1.654713335703311,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,9,58000000.0,tt0113189,GoldenEye,14.686035999999998,352194034.0,130.0,6.6,1194.0,23.0,2.686897110340591,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,62000000.0,tt0112346,The American President,6.318445,107879496.0,106.0,6.5,199.0,23.0,1.843473133581103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,13,44000000.0,tt0113987,Nixon,5.092,13681765.0,192.0,7.1,72.0,23.0,1.62767068069516,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,14,98000000.0,tt0112760,Cutthroat Island,7.284477000000001,10017322.0,119.0,5.7,137.0,23.0,1.9857456457179525,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,15,52000000.0,tt0112641,Casino,10.137389,116112375.0,178.0,7.8,1343.0,23.0,2.3162304699364564,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,16,16500000.0,tt0114388,Sense and Sensibility,10.673167,135000000.0,136.0,7.2,364.0,23.0,2.367732834769033,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
